0,-94.2106,45.49869,Sun Oct 07 20:03:12 CDT 2018,INCIDENT_CRASH,,WB,I-94,2018100720031226
1,-93.33279,45.07604,Sun Oct 07 19:13:02 CDT 2018,INCIDENT_CRASH,@ Brooklyn Blvd,WB,I-94,L004_9956092
2,-93.06811,44.92538,Sun Oct 07 21:11:12 CDT 2018,INCIDENT_STALL,@ Concord St,NB,T.H.52,L004_9956228
3,-93.1879,45.014559999999996,Sat Oct 06 10:33:29 CDT 2018,INCIDENT_ROADWORK,@ Cleveland Ave,SB,I-35W,2018100610332993
4,-93.29590999999999,44.645179999999996,Sun Oct 07 21:15:42 CDT 2018,INCIDENT_HAZARD,@ 210th St,NB,I-35,L004_9956232
5,-93.19034,45.010059999999996,Sat Oct 06 10:47:15 CDT 2018,INCIDENT_ROADWORK,@ Cleveland Ave,EB,T.H.36,2018100610471533
6,-93.34895999999999,44.98452,Sun Oct 07 21:04:32 CDT 2018,INCIDENT_HAZARD,@ T.H.100,EB,T.H.55,L004_9956219
7,-92.5258,47.497840000000004,Sun Oct 07 19:20:42 CDT 2018,INCIDENT_HAZARD,,SB,T.H.53,L004_9956100
8,-93.07297,45.19278,Sun Oct 07 21:05:12 CDT 2018,INCIDENT_STALL,@ Co Rd 14,SB,I-35W,L004_9956221
9,-93.18788,45.05608,Sun Oct 07 19:00:56 CDT 2018,INCIDENT_ROADWORK,@ Co Rd E2,SB,I-35W,2018100719005669
10,-94.1691,45.4971,Sun Oct 07 20:24:02 CDT 2018,INCIDENT_CRASH,,WB,I-94,2018100720240229
11,-93.16038,45.06252,Sun Oct 07 20:05:32 CDT 2018,INCIDENT_STALL,@ T.H.51,EB,T.H.10,L004_9956163
12,-93.28832,44.89048,Sun Oct 07 19:58:52 CDT 2018,INCIDENT_STALL,@ Lyndale Ave,SB,I-35W,L004_9956154
13,-93.2694,44.96269,Sun Oct 07 20:38:52 CDT 2018,INCIDENT_STALL,@ Franklin Ave,SB,I-35W,L004_9956194
14,-93.29844,44.861909999999995,Sun Oct 07 20:36:02 CDT 2018,INCIDENT_STALL,@ I-35W CD NB,NB,I-35W,L004_9956191
15,-93.18342,45.010329999999996,Sat Oct 06 10:45:32 CDT 2018,INCIDENT_ROADWORK,@ I-35W NB,WB,T.H.36,2018100610453294
16,-96.39546999999999,43.6088,Sun Oct 07 20:13:42 CDT 2018,INCIDENT_STALL,,WB,I-90,L004_9956173
0,-94.2106,45.49869,Sun Oct 07 20:03:12 CDT 2018,INCIDENT_CRASH,,WB,I-94,2018100720031226
1,-93.33279,45.07604,Sun Oct 07 19:13:02 CDT 2018,INCIDENT_CRASH,@ Brooklyn Blvd,WB,I-94,L004_9956092
2,-93.06811,44.92538,Sun Oct 07 21:11:12 CDT 2018,INCIDENT_STALL,@ Concord St,NB,T.H.52,L004_9956228
3,-93.1879,45.014559999999996,Sat Oct 06 10:33:29 CDT 2018,INCIDENT_ROADWORK,@ Cleveland Ave,SB,I-35W,2018100610332993
4,-93.29590999999999,44.645179999999996,Sun Oct 07 21:15:42 CDT 2018,INCIDENT_HAZARD,@ 210th St,NB,I-35,L004_9956232
5,-93.19034,45.010059999999996,Sat Oct 06 10:47:15 CDT 2018,INCIDENT_ROADWORK,@ Cleveland Ave,EB,T.H.36,2018100610471533
6,-93.34895999999999,44.98452,Sun Oct 07 21:04:32 CDT 2018,INCIDENT_HAZARD,@ T.H.100,EB,T.H.55,L004_9956219
7,-92.5258,47.497840000000004,Sun Oct 07 19:20:42 CDT 2018,INCIDENT_HAZARD,,SB,T.H.53,L004_9956100
8,-93.07297,45.19278,Sun Oct 07 21:05:12 CDT 2018,INCIDENT_STALL,@ Co Rd 14,SB,I-35W,L004_9956221
9,-93.18788,45.05608,Sun Oct 07 19:00:56 CDT 2018,INCIDENT_ROADWORK,@ Co Rd E2,SB,I-35W,2018100719005669
10,-94.1691,45.4971,Sun Oct 07 20:24:02 CDT 2018,INCIDENT_CRASH,,WB,I-94,2018100720240229
11,-93.16038,45.06252,Sun Oct 07 20:05:32 CDT 2018,INCIDENT_STALL,@ T.H.51,EB,T.H.10,L004_9956163
12,-93.28832,44.89048,Sun Oct 07 19:58:52 CDT 2018,INCIDENT_STALL,@ Lyndale Ave,SB,I-35W,L004_9956154
13,-93.2694,44.96269,Sun Oct 07 20:38:52 CDT 2018,INCIDENT_STALL,@ Franklin Ave,SB,I-35W,L004_9956194
14,-93.29844,44.861909999999995,Sun Oct 07 20:36:02 CDT 2018,INCIDENT_STALL,@ I-35W CD NB,NB,I-35W,L004_9956191
15,-93.18342,45.010329999999996,Sat Oct 06 10:45:32 CDT 2018,INCIDENT_ROADWORK,@ I-35W NB,WB,T.H.36,2018100610453294
16,-96.39546999999999,43.6088,Sun Oct 07 20:13:42 CDT 2018,INCIDENT_STALL,,WB,I-90,L004_9956173
